10 a07116b495538c3f2edcfae67e4aefdf54c566d5 log1 sha256:1cce2f24a2ef7be11837f1edf0812fff38c3cfb0ba778dadd8a85f8fe4ca9258 /etc/intel/cloudsecurity/data/nonce 664563  15746 5056 0 0 0 0 2020-03-25T23:59:22.489
10 92d4775676e3abee80224cedf112ddcd9e354713 log1 sha256:d9ff78075d89396258c27de2e05b79c2598f8645ac5fcd0d14686dfa9b10769e /etc/intel/cloudsecurity/data/aikquote 664569  15748 1 0 0 0 0 2020-03-25T23:59:22.520
10 29df2d4bd85b7d2e851c27fd5a8eb1e66a6d2002 log1 sha256:f383a237e25081512e5838f16363fecc26ae254312e63933d601f3d1a6c4fbc2 /etc/intel/cloudsecurity/data/nonce 664563  15754 5056 0 0 0 0 2020-03-25T23:59:53.572
10 c330b68b229183d678558f3df871d511c0e5f794 log1 sha256:89ce9fccdcda199b97795672db3456354d50771493599815e8028f78f36d49e3 /etc/intel/cloudsecurity/data/aikquote 664569  15756 1 0 0 0 0 2020-03-25T23:59:53.601
10 785554416d556c938f895b1e76975d6a7e72c553 log1 sha256:01ced893a233499d7a881e411aa13d2a7c83f32b5fc4de4c6cfed64d86787dfd /root/ima_archive/data/last.dat 1180958  15761 15760 0 0 0 0 2020-03-26T00:00:01.982
10 22463819876e90802f9fbe775e7046db3ef5b5a4 log1 sha256:24734d5f45ad32f81ef2f67e01ff839b43d7fa9cd0e2c3c66d3206e199f850d3 /etc/intel/cloudsecurity/data/nonce 664563  15766 5056 0 0 0 0 2020-03-26T00:00:24.572
10 5d517f7bb5c9813356051b152c33ebbd09af1dd5 log1 sha256:5fc69a0b77c59e4b2bcc6055b40994fc19a5f9a475b3cd04251e0e0efe231db7 /etc/intel/cloudsecurity/data/aikquote 664569  15768 1 0 0 0 0 2020-03-26T00:00:24.606
10 35b2aa47e011bf2244484eab29b2541608037d1c log1 sha256:595aa001af6ffd2bf26a5821d0a0a0f1d9690c6dedfa3b10dbd8d50d3ec419ea /etc/intel/cloudsecurity/data/nonce 664563  15780 5056 0 0 0 0 2020-03-26T00:00:55.649
10 ba8cb1af3df8b3ed83970c959a37b6f5000da35f log1 sha256:b93093d3881e1994f5b418f6fd1ebed7da2d4c7db3b636dffb3bcc5ae2a4e560 /etc/intel/cloudsecurity/data/aikquote 664569  15782 1 0 0 0 0 2020-03-26T00:00:55.685
10 fe684f04df73c77bfa7304c12118767256de5145 log1 sha256:283fe45f265da4372a15450e056f68e5382252dd3019e729073cd6785fcb3770 /opt/certbot/certbot-auto 793761  15789 15787 0 0 0 0 2020-03-26T00:01:01.286
