10 3a0f2e8b102ac53ae6e8bf356a91a927b6b97e4b log1 sha256:8361b36517bd80d0da0a2054997663f019da33142d6554e8399d6904747623e2 /etc/intel/cloudsecurity/data/nonce 664563  5836 5056 0 0 0 0 2020-02-22T23:59:32.633
10 bff6493a2e5c6f3d97dfcf361c9b3618d6a65367 log1 sha256:c517ff18094585efb1872eae3eea4c4432e2d95232797a7924b7483b74fc3bc6 /etc/intel/cloudsecurity/data/aikquote 664569  5838 1 0 0 0 0 2020-02-22T23:59:32.666
10 022fabdc8b978f5713f62103f9b8679a7237dc5e log1 sha256:20ccb946909194968f9f460c54e93515a91e3a9ca648cb178495296091fa09cd /root/ima_archive/data/last.dat 1180958  5849 5848 0 0 0 0 2020-02-23T00:00:02.142
10 af222a9a17b16f0edf1ab2965fe0af02fafd001a log1 sha256:bc69bf5d10e50864baa435b751c6d3066a6ba6783841fdcb981f0fe96bb43e09 /etc/intel/cloudsecurity/data/nonce 664563  5853 5056 0 0 0 0 2020-02-23T00:00:03.607
10 f6383da127126430743d945a1748e81df5293f75 log1 sha256:24912f8d3c7be9ae7031a21228c2f6a645df806927e04087b4de2f9f1d9d19c3 /etc/intel/cloudsecurity/data/aikquote 664569  5855 1 0 0 0 0 2020-02-23T00:00:03.633
10 832917d56eebb47c48da50942341920a7c221bbe log1 sha256:cf048bd448c5dd207eb40d8c2cdc8d90cbc228d3d3fa71f7f4c0060bbeb2915e /etc/intel/cloudsecurity/data/nonce 664563  5953 5056 0 0 0 0 2020-02-23T00:00:34.598
10 6f9b032e62f2d06b6a28582f36741c9c67a37a6a log1 sha256:2ad20b69574f55ddd55d7ecab4042016a2e040a4366a65c476fd732daa53d474 /etc/intel/cloudsecurity/data/aikquote 664569  5957 1 0 0 0 0 2020-02-23T00:00:34.627
10 7142ab956bd62d691752c009a1d4b0f72b888aa2 log1 sha256:283fe45f265da4372a15450e056f68e5382252dd3019e729073cd6785fcb3770 /opt/certbot/certbot-auto 793761  5979 5977 0 0 0 0 2020-02-23T00:01:01.406
10 5fc0cc475e16f08ef8144bd1f799f1358a11121f log1 sha256:4ac8ddcdc3d31992dd18c2e6ef929d9a79f1691d1f16e17c5d2234de886e90eb /usr/bin/basename 526337  3677 3676 0 0 0 0 2020-01-20T11:37:57.403
10 058ef7d67658345d5f3a1543db2d694f1901a936 log1 sha256:8135463b5a74a4a0777f4946545770814d5c929a6661b2041aee78e8458146f1 /usr/bin/id 526523  18805 18802 0 0 0 0 2020-02-20T00:01:01.326
