root,1768,sd-pam,Jan20;
root,2049,master,Jan20;
postfix,2055,qmgr,Jan20;
tss,4472,tcsd,Jan20;
root,5056,trustagent,Jan20;
postfix,10852,tlsmgr,Jan21;
root,10918,[kworker/0:2],Apr08;
root,12586,systemd-udevd,Feb06;
root,14844,apache2,Apr04;
root,20273,[loop1],Feb19;
systemd+,21711,systemd-networkd,Feb06;
systemd+,21761,systemd-resolved,Feb06;
systemd+,21792,systemd-timesyncd,Feb06;
root,21822,systemd-journald,Feb06;
root,30614,[loop0],Mar31;
root,30642,snapd,Mar31;
